Price min value,Price for each machine,Time
3687,"[128, 128, 128, 128, 128, 128, 379, 128, 379, 128, 128, 128, 379, 379, 128, 379, 128, 128, 128]",0.0009965896606445
4258,"[128, 128, 128, 128, 128, 128, 379, 128, 379, 128, 128, 128, 379, 379, 128, 379, 128, 827]",0.0
3687,"[379, 128, 128, 379, 128, 379, 128, 379, 128, 128, 128, 128, 379, 128, 128, 128, 128, 128, 128]",1365.148343086243
