Price min value,Price for each machine,Time
1722,"[210, 210, 210, 126, 126, 126, 126, 126, 126, 210, 126]",0.001993179321289
1849,"[210, 210, 210, 126, 126, 126, 126, 126, 379, 210]",0.001962661743164
